Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2012-02-28,33.640,34.440,33.170,33.810,612183,N/A,17.2799,
2012-02-27,33.410,34.000,33.000,33.620,605953,N/A,17.1828,
2012-02-24,34.230,34.520,33.270,33.750,959866,N/A,17.2493,
2012-02-23,33.990,34.970,33.560,34.530,820345,N/A,17.6479,
2012-02-22,34.500,34.720,32.500,34.220,1654985,N/A,17.4895,
2012-02-21,34.870,34.870,33.810,34.500,1135788,N/A,17.6326,
2012-02-20,0.000,0.000,0.000,34.970,0,N/A,N/A
2012-02-17,33.990,34.970,33.500,34.970,1376645,N/A,17.8728,
2012-02-16,33.500,34.510,32.540,34.180,2219636,N/A,17.4690,
2012-02-15,33.100,34.410,32.270,33.600,2764476,N/A,17.3846,
2012-02-14,31.740,33.790,31.400,33.170,1810775,N/A,17.1621,
2012-02-13,31.550,32.060,30.900,31.490,1157858,N/A,16.2929,
2012-02-10,32.260,32.270,29.840,31.100,1874139,N/A,16.0911,
2012-02-09,32.000,32.900,31.430,32.580,1277476,N/A,16.8569,
2012-02-08,31.600,32.010,31.290,31.930,623626,N/A,16.5206,
2012-02-07,31.800,31.800,30.820,31.600,1021503,N/A,16.3498,
2012-02-06,31.100,31.900,31.050,31.800,652161,N/A,16.4533,
2012-02-03,30.410,31.330,30.250,31.150,764418,N/A,16.1170,
2012-02-02,29.720,30.880,29.605,30.250,805610,N/A,15.6513,
2012-02-01,29.070,29.700,29.000,29.580,523169,N/A,15.3047,
2012-01-31,29.900,30.000,28.870,29.070,956413,N/A,15.0408,
2012-01-30,29.490,29.610,28.529,29.570,728979,N/A,15.2995,
2012-01-27,28.500,29.720,28.500,29.330,748361,N/A,15.1753,
2012-01-26,28.070,29.580,28.000,28.940,1271028,N/A,14.9735,
2012-01-25,27.270,28.010,27.050,27.970,611112,N/A,14.4717,
2012-01-24,26.630,27.680,26.440,27.420,857914,N/A,14.1871,
2012-01-23,26.810,27.210,26.600,26.770,594533,N/A,13.8508,
2012-01-20,26.900,27.000,26.400,26.600,662289,N/A,13.7628,
2012-01-19,27.190,27.740,26.610,26.760,1246222,N/A,13.8456,
2012-01-18,26.690,26.880,26.250,26.810,1260183,N/A,13.8715,
2012-01-17,26.620,27.340,26.410,26.600,4651391,N/A,13.7628,
2012-01-16,0.000,0.000,0.000,22.790,0,N/A,N/A
2012-01-13,28.400,28.500,22.640,22.790,5506439,N/A,11.7915,
2012-01-12,28.480,28.620,27.805,28.250,729300,N/A,14.6165,
